,sim_number,price_vnd
233,987948476,450000
234,966689610,500000
235,369891985,450000
236,936330133,1000000
237,868652679,10000000
238,868929993,10000000
239,968366658,10000000
240,898529313,1000000
241,898311227,1000000
242,375760888,10000000
243,375954554,450000
244,344280184,450000
245,926368118,500000
246,965034886,500000
247,845678283,3000000
248,352159179,450000
249,965148524,500000
250,877152366,500000
251,862982228,450000
252,376295388,450000
253,911690139,500000
254,775687678,10000000
255,865396766,450000
256,798666622,10000000
257,333417699,450000
258,386736286,450000
259,932338688,3000000
260,855996899,10000000
261,769264555,12000000
262,918358338,500000
263,332892966,450000
264,343982017,450000
265,327762139,450000
266,762512812,1000000
267,979702011,3000000
268,762701983,1000000
269,342847889,450000
270,342872939,450000
271,773372543,1000000
272,979100610,500000
273,966184579,3000000
274,847423678,11325000
275,368285789,10000000
276,327943969,450000
277,986252050,500000
278,382356268,450000
279,762644811,1000000
280,949470392,1000000
281,762534537,1000000
282,876246888,10000000
283,877010683,500000
284,789106969,1000000
285,926363359,500000
286,879258288,500000
287,888863879,12000000
288,964444083,500000
289,349228488,450000
290,936995595,500000
291,329041639,450000
292,336503337,450000
293,329490639,450000
294,889505697,1000000
295,856865986,3000000
296,919101141,3000000
297,827314678,11325000
298,795701012,1000000
299,388855922,3000000
300,944091367,1000000
301,888675505,1000000
302,702692392,1000000
303,865989538,450000
304,945080959,1000000
305,795593345,1000000
306,328004699,450000
307,786877774,10000000
308,705939799,10000000
309,818367779,12000000
310,837666279,3000000
311,326090693,450000
312,877117577,500000
313,836989879,10000000
314,793778899,10000000
315,865987654,450000
316,985625562,450000
317,786552233,3000000
318,325711141,450000
319,921697980,500000
320,763539439,1000000
321,833181886,3000000
322,901884588,3000000
323,827555886,3000000
324,335830000,12400000
325,819111666,12000000
326,328480669,450000
327,326147299,450000
328,398059999,65000000
329,335190600,450000
330,769319939,3000000
331,383240191,450000
332,707355556,10000000
333,987552019,10000000
334,522341984,500000
335,989160975,500000
336,838858999,12000000
337,369967386,450000
338,925122009,12000000
339,943743227,1000000
340,944300694,1000000
341,942771970,1000000
342,931624777,12000000
343,867514679,3000000
344,934965486,500000
345,762401379,1000000
346,909969612,500000
347,854218639,500000
348,783669900,1000000
349,762226666,65000000
350,342986379,450000
351,906176990,500000
352,328661886,450000
353,813297678,11325000
354,888882687,10300000
355,798779886,10000000
356,369766079,450000
357,522041994,12000000
358,523982008,500000
359,829012368,3000000
360,339021797,450000
361,968381339,500000
362,814066686,3000000
363,768179568,3000000
364,816868988,10000000
365,964903258,500000
366,782149555,3000000
367,898325774,1000000
368,358892939,450000
369,335886636,450000
370,983967785,450000
371,971197789,10000000
372,948108910,1000000
373,938221148,3000000
374,927502008,500000
375,325222007,450000
376,763556551,1000000
377,965665665,10000000
378,352397169,450000
379,979880568,3000000
380,336736239,450000
381,799972972,3000000
382,708137131,1000000
383,332121286,450000
384,941144664,1000000
385,877111822,500000
386,779183838,1000000
387,766669868,12000000
388,332712499,450000
389,846761333,500000
390,799933777,12000000
391,763578345,1000000
392,566088688,500000
393,848971678,11325000
394,969108028,500000
395,813061976,15000000
396,819429678,11325000
397,934138558,3000000
398,913134404,1000000
399,942470223,1000000
400,812855866,3000000
401,815056839,3000000
402,705691666,12000000
403,971782022,10000000
404,707777888,10000000
405,877150804,500000
406,343300053,450000
407,886666696,10300000
408,794402879,1000000
409,888344456,10000000
410,778500788,1000000
411,567649946,500000
412,329300566,450000
413,858976986,3000000
414,938646636,500000
415,886223444,12000000
416,903783179,500000
417,921071992,12000000
418,929056768,3000000
419,972210163,500000
420,862928339,450000
421,799977970,3000000
422,763071797,1000000
423,865837840,450000
424,354637536,450000
425,888940418,1000000
426,813677997,3000000
427,326825466,450000
428,326516739,450000
429,909176870,1000000
430,707082222,65000000
431,847383838,3000000
432,359239222,5000000
433,926478578,10000000
434,763669664,1000000
435,843587386,3000000
436,326594739,450000
437,972569611,450000
438,343180839,450000
439,967736707,500000
440,876686839,450000
441,984318986,500000
442,823838878,3000000
443,978206179,3000000
444,945305179,1000000
445,965770222,10000000
446,974127557,450000
447,702669456,1000000
448,902414078,3000000
449,336082539,450000
450,348952766,450000
451,877007768,500000
452,368833638,450000
453,344001144,450000
454,877104779,500000
455,334879486,450000
456,865184479,450000
457,977378837,500000
458,813369777,12000000
459,961842494,500000
460,327470286,450000
461,788841999,12000000
462,376213266,450000
463,336002786,450000
464,901687267,3000000
465,857809678,11325000
466,972112568,3000000
467,826022027,15000000
468,336137866,450000
469,349923786,450000
470,816711677,500000
471,359390199,450000
472,859457457,500000
473,783838078,1000000
474,355977898,5000000
475,773313654,1000000
476,334813188,450000
477,388368519,450000
478,345980169,450000
479,972215921,500000
480,865475378,450000
481,338127999,10000000
482,763061067,1000000
483,912530939,3000000
484,937229329,500000
485,942697898,3000000
486,704411411,1000000
487,777040404,1000000
488,945662756,1000000
489,794225666,12000000
490,327530539,450000
491,909110637,1000000
492,763755758,1000000
493,357481088,450000
494,918048252,500000
495,989052244,3000000
496,353480388,450000
497,945878778,10000000
498,858060060,500000
499,365777268,450000
500,782827666,12000000
501,944708683,1000000
502,927609686,3000000
503,857806886,3000000
504,852139666,12000000
505,879488681,500000
506,335204588,450000
507,862281168,500000
508,326417586,450000
509,865062488,450000
510,353115229,450000
511,909746285,500000
512,916189903,500000
513,563532001,500000
514,343150876,450000
515,928955678,13000000
516,979246000,3000000
517,398791998,10000000
518,346061218,450000
519,362079079,450000
520,931369357,1000000
521,939398635,500000
522,966252786,500000
523,918541106,500000
524,969696163,500000
525,963283628,500000
526,705907765,1000000
527,838222200,3000000
528,567132668,500000
529,971537755,500000
530,965799060,500000
531,868240686,500000
532,909196984,1000000
533,334844467,450000
534,977540601,500000
535,902305993,500000
536,775686636,1000000
537,931231555,3000000
538,326577742,450000
539,947935070,1000000
540,869386386,3000000
541,342134953,450000
542,842389678,11325000
543,764911555,12000000
544,877992241,500000
545,335830539,450000
546,866239678,450000
547,886706214,1000000
548,359014966,450000
549,902919889,11000000
550,832666369,3000000
551,922687679,10000000
552,989789868,10000000
553,936185216,500000
554,369206906,450000
555,826889888,12000000
556,916081995,15000000
557,343356186,450000
558,946666643,10300000
559,825707707,500000
560,763023923,1000000
561,877149977,500000
562,947699631,1000000
563,949089311,1000000
564,335922839,450000
565,568071779,500000
566,343332332,450000
567,783774444,65000000
568,762667662,1000000
569,762289999,65000000
570,705297711,1000000
571,326691866,450000
572,981460746,500000
573,935886186,500000
574,879286269,500000
575,523832002,500000
576,327732488,450000
577,905155120,500000
578,948423786,1000000
579,927532006,500000
580,984064876,500000
581,909110856,1000000
582,918411996,15000000
583,336150775,450000
584,379711221,450000
585,763106070,1000000
586,868799368,10000000
587,344514439,450000
588,937211233,1000000
589,898909991,3000000
590,777678437,1000000
591,936130183,1000000
592,399130000,12400000
593,797226888,12000000
594,828009596,10000000
595,924989196,3000000
596,702792692,1000000
597,362894079,450000
598,982559930,450000
599,376040781,450000
600,979823179,3000000
601,367021961,450000
602,824399998,10000000
603,981665092,500000
604,915449900,500000
605,963452024,3000000
606,325226626,450000
607,343191974,450000
608,974376866,450000
609,798888532,3000000
610,904750543,1000000
611,329310003,450000
612,886485562,1000000
613,339086568,450000
614,975520268,3000000
615,987278931,450000
616,767134999,12000000
617,898325507,1000000
618,822139666,12000000
619,909263881,1000000
620,866384784,450000
621,936697577,3000000
622,797051191,1000000
623,919318689,10000000
624,947966294,1000000
625,768986123,1000000
626,326160680,450000
627,789888701,1000000
628,764488488,1000000
629,879403322,500000
630,859034678,11325000
631,375686777,10000000
632,879612712,500000
633,903084646,500000
634,971967096,450000
635,877993009,500000
636,911201688,3000000
637,705507879,3000000
638,373051996,5000000
639,921423324,1000000
640,971955679,10000000
641,988888266,10000000
642,375298922,450000
643,985867898,10000000
644,919464989,3000000
645,971922346,450000
646,328784766,450000
647,937923486,500000
648,763011822,1000000
649,818731368,500000
650,879287858,500000
651,384976399,450000
652,916042142,500000
653,901388379,3000000
654,337139668,450000
655,708143149,1000000
656,334306179,450000
657,398982012,500000
658,905058888,65000000
659,909348626,1000000
660,896899090,1000000
661,989679748,450000
662,987052020,3000000
663,939892186,500000
664,973893219,500000
665,792206666,65000000
666,336130266,450000
667,327557468,450000
668,363537667,450000
669,825333330,10300000
670,332324188,450000
671,962959678,10000000
672,983582015,10000000
673,889898589,10000000
674,795333184,1000000
675,899515184,1000000
676,343070566,450000
677,984297467,450000
678,328040482,450000
679,989080416,500000
680,763919399,1000000
681,921651221,500000
682,329362442,450000
683,945982061,1000000
684,936693036,500000
685,913329031,500000
686,867909999,65000000
687,981241194,500000
688,829866866,10000000
689,783420520,1000000
690,867773392,500000
691,352573979,450000
692,763638438,1000000
693,763665234,1000000
694,343220739,450000
695,763518018,1000000
696,947418167,1000000
697,898027171,1000000
698,333154669,450000
699,866606006,450000
700,908999596,12000000
701,327130904,450000
702,357241499,450000
703,336010191,450000
704,799787222,3000000
705,855682288,3000000
706,344184686,450000
707,866926918,450000
708,931563168,1000000
709,359299139,450000
710,924210777,10000000
711,342850539,450000
712,879879737,500000
713,335471279,450000
714,859438999,12000000
715,937141414,1000000
716,329989666,10000000
717,768282666,12000000
718,838911567,11325000
719,368736879,450000
720,969431917,500000
721,866366436,450000
722,914383738,500000
723,332152566,450000
724,852574574,500000
725,899088908,1000000
726,776761761,1000000
727,879483738,500000
728,702682182,1000000
729,913612399,500000
730,333710399,450000
731,947600365,1000000
732,784339339,1000000
733,817775253,500000
734,846779968,10000000
735,877994088,500000
736,932770555,12000000
737,344121366,450000
738,779526666,65000000
739,706092015,10000000
740,367434445,5000000
741,335972486,450000
742,886456856,1000000
743,365251088,450000
744,836977797,12000000
745,901638836,500000
746,393593935,500000
747,333990669,10000000
748,836983188,500000
749,906994993,3000000
750,845239678,11325000
751,367153567,450000
752,816131818,10000000
753,344060775,450000
754,866868128,450000
755,912969779,10000000
756,763039654,1000000
757,896711811,1000000
758,396685686,3000000
759,328158366,450000
760,763567267,1000000
761,848406879,3000000
762,356777000,12000000
763,909823841,500000
764,949682345,1000000
765,705179339,1000000
766,965089311,500000
767,338625986,450000
768,336190639,450000
769,921857999,10000000
770,879882285,500000
771,879288486,500000
772,909107350,1000000
773,762781974,1000000
774,786000008,10000000
775,762658484,1000000
776,336260795,450000
777,827061996,15000000
778,343257997,450000
779,334458239,450000
780,344136968,450000
781,819926789,11325000
782,866054562,450000
783,778090999,12000000
784,935363895,1000000
785,353316539,450000
786,353740740,1000000
787,971864808,500000
788,865369039,450000
789,945377160,1000000
790,399967688,10000000
791,586592005,500000
792,796263868,1000000
793,336251174,450000
794,332034868,450000
795,905086685,500000
796,971695549,450000
797,879591389,500000
798,925776686,3000000
799,909884950,3000000
800,343603966,450000
801,336230281,450000
802,773336239,1000000
803,797912000,1000000
804,333220290,450000
805,344132988,450000
806,763741982,1000000
807,932345822,1000000
808,399678717,500000
809,931433542,1000000
810,931810244,500000
811,762788100,1000000
812,917366439,500000
813,925541888,10000000
814,329766624,450000
815,931418200,1000000
816,898315177,1000000
817,946086790,1000000
818,819299555,12000000
819,869639568,10000000
820,902771745,500000
821,798272272,1000000
822,969218179,3000000
823,909371308,500000
824,343633373,450000
825,989387399,10000000
826,326382139,450000
827,973957997,450000
828,393246810,500000
829,708109709,1000000
830,901739608,500000
831,828797977,10000000
832,819391678,11325000
833,776261432,1000000
834,853156228,500000
835,383033699,450000
836,862941771,450000
837,703336688,10000000
838,363042444,450000
839,708084345,1000000
840,783816999,12000000
841,763710719,1000000
842,856898589,10000000
843,332543639,450000
844,373560000,12400000
845,762751851,1000000
846,706052014,10000000
847,898088900,1000000
848,981769161,450000
849,931383168,1000000
850,326946439,450000
851,763577066,1000000
852,377473299,450000
853,986888272,450000
854,784551999,12000000
855,795148889,12000000
856,819298698,3000000
857,943863705,1000000
858,862959293,450000
859,763044377,1000000
860,868388666,10000000
861,983162224,3000000
862,763522522,1000000
863,877120779,500000
864,922967666,10000000
865,349111100,12000000
866,332568739,450000
867,842366668,10000000
868,888889130,10300000
869,329552466,450000
870,383370388,450000
871,369846886,450000
872,824817678,11325000
873,988240473,500000
874,392162997,10000000
875,795713711,1000000
876,879488567,500000
877,387712179,450000
878,399255772,500000
879,763516345,1000000
880,972200248,3000000
881,766949969,10000000
882,329428839,450000
883,985987482,450000
884,346517123,450000
885,327850866,450000
886,336016986,450000
887,333968978,10000000
888,528981995,500000
889,988907489,10000000
890,916514524,500000
891,565102005,500000
892,328635339,450000
893,763522099,1000000
894,378626388,450000
895,944784106,1000000
896,833196296,3000000
897,866270282,450000
898,975020853,500000
899,862676779,10000000
900,978968789,10000000
901,975447441,450000
902,877117756,500000
903,988882655,10000000
904,925102388,500000
905,943594991,1000000
906,763581975,1000000
907,586912004,500000
908,334280490,450000
909,889575139,1000000
910,933231981,3000000
911,357665888,10000000
912,335170839,450000
913,898118881,12000000
914,828999986,10000000
915,986844974,450000
916,327335399,450000
917,935044663,1000000
918,343350234,450000
919,837868886,12000000
920,582344222,500000
921,972795461,450000
922,856555599,12000000
923,961664686,500000
924,877334478,500000
925,835678900,12000000
926,941792460,1000000
927,375877566,10000000
928,989171002,10000000
929,365295786,450000
930,708780870,3000000
931,335850739,450000
932,332958639,450000
933,795616615,1000000
934,896661888,12000000
935,332777082,450000
936,975854344,3000000
937,344208468,450000
938,984291275,500000
939,828579579,50000000
940,857586333,500000
941,335296239,450000
942,879611131,500000
943,344697999,10000000
944,982228883,10000000
945,877116641,500000
946,336000986,450000
947,346982888,10000000
948,829113939,3000000
949,327758099,450000
950,339167788,450000
951,936558244,1000000
952,964082013,10000000
953,971568539,450000
954,988859916,10000000
955,587091995,500000
956,815833099,500000
957,566732003,500000
958,865041341,450000
959,375377977,5000000
960,357205968,450000
961,702764234,1000000
962,906112028,10000000
963,971982013,10000000
964,776191171,1000000
965,935688368,3000000
966,968352024,3000000
967,785660888,12000000
968,832345185,3000000
969,336271539,450000
970,911426262,500000
971,879929332,500000
972,889487968,10000000
973,909498479,3000000
974,879933772,500000
975,981710151,500000
976,336060490,450000
977,945376996,1000000
978,972534236,450000
979,938624680,500000
980,763688366,1000000
981,362679686,450000
982,343266646,450000
983,984731626,500000
984,329221074,450000
985,909178532,1000000
986,896667895,12000000
987,333964777,10000000
988,707001212,12000000
989,563888456,3000000
990,334880286,450000
991,832222898,10000000
992,773693555,3000000
993,968351997,3000000
994,903126445,500000
995,762645012,1000000
996,344170568,450000
997,865254884,450000
998,339556666,65000000
999,335463799,450000
1000,889789222,12000000
1001,327382966,450000
1002,708986689,10000000
1003,866290108,450000
1004,336655186,450000
1005,877004388,500000
1006,389999165,10000000
1007,869835265,500000
1008,869979789,10000000
1009,824034678,11325000
1010,988665749,450000
1011,764266123,1000000
1012,944732327,1000000
1013,879217286,500000
1014,567668679,10000000
1015,969303271,500000
1016,788504333,1000000
1017,967372611,500000
1018,823987999,12000000
1019,829051525,3000000
1020,943978933,1000000
1021,833384789,10000000
1022,818222828,3000000
1023,349700969,450000
1024,329120977,450000
1025,923109111,3000000
1026,914752222,50000000
1027,847932678,11325000
1028,708017617,1000000
1029,967702011,3000000
1030,359814288,450000
1031,947989943,1000000
1032,763508345,1000000
1033,568877986,10000000
1034,927319889,12000000
1035,865719478,450000
1036,824471678,11325000
1037,332870444,450000
1038,326786586,450000
1039,909172668,1000000
1040,855383868,3000000
1041,762688484,1000000
1042,797220597,1000000
1043,327177741,450000
1044,971808585,450000
1045,983955739,450000
1046,763684687,1000000
1047,865082788,450000
1048,334304366,450000
1049,823151818,3000000
1050,342902018,450000
1051,796464540,1000000
1052,335339236,450000
1053,949805268,1000000
1054,917290957,3000000
1055,327306739,450000
1056,762701975,1000000
1057,762504704,1000000
1058,915913338,3000000
1059,879882287,500000
1060,388806556,5000000
1061,909290496,3000000
1062,395986869,10000000
1063,818808800,3000000
1064,888191003,3000000
1065,868281299,3000000
1066,862978069,450000
1067,363420139,450000
1068,329045550,450000
1069,848842011,3000000
1070,914818288,3000000
1071,855680808,3000000
1072,343419739,450000
1073,877010766,500000
1074,344321118,450000
1075,867607789,10000000
1076,847120378,500000
1077,523456780,10000000
1078,943619880,1000000
1079,862999418,450000
1080,903095404,500000
1081,327050385,450000
1082,523471982,500000
1083,335080808,450000
1084,926588000,3000000
1085,796229977,10000000
1086,945441288,1000000
1087,767214666,3000000
1088,845696666,50000000
1089,898379837,1000000
1090,941981911,1000000
1091,856191191,3000000
1092,877110302,500000
1093,948629336,1000000
1094,855704123,500000
1095,944363014,1000000
1096,936553779,3000000
1097,817291678,11325000
1098,983201080,500000
1099,815072015,15000000
1100,908649955,500000
1101,865666364,450000
1102,934946168,3000000
1103,335011978,450000
1104,848923999,12000000
1105,877150985,500000
1106,762567467,1000000
1107,819878555,12000000
1108,779007978,3000000
1109,328383989,450000
1110,909282726,3000000
1111,343614668,450000
1112,343205239,450000
1113,928627282,500000
1114,343685669,450000
1115,923078779,10000000
1116,369523356,450000
1117,707797999,12000000
1118,339122789,10000000
1119,356506066,450000
1120,763188000,1000000
1121,702688044,1000000
1122,566686279,3000000
1123,332184399,450000
1124,799250493,1000000
1125,817052011,15000000
1126,346150272,450000
1127,357140395,450000
1128,332374279,450000
1129,399400383,500000
1130,382052013,5000000
1131,332106039,450000
1132,888014140,1000000
1133,971656635,450000
1134,877120685,500000
1135,334553866,450000
1136,829136886,500000
1137,862896796,450000
1138,904066088,3000000
1139,705793777,12000000
1140,795682382,1000000
1141,925251965,500000
1142,946802213,1000000
1143,389371777,10000000
1144,964618419,500000
1145,899966896,12000000
1146,778526876,1000000
1147,825478686,3000000
1148,877112237,500000
1149,866578679,10000000
1150,934185266,500000
1151,866398366,450000
1152,334121366,450000
1153,372698014,450000
1154,937566779,10000000
1155,353273699,450000
1156,813776777,12000000
1157,922414888,10000000
1158,344293686,450000
1159,342561993,450000
1160,858950950,500000
1161,353543739,450000
1162,918004773,500000
1163,928783837,3000000
1164,969282687,500000
1165,816658000,3000000
1166,867474913,450000
1167,972988284,450000
1168,334694879,450000
1169,988333338,10000000
1170,366626005,450000
1171,913972014,3000000
1172,362093696,450000
1173,397020239,500000
1174,913357528,500000
1175,911866060,500000
1176,383397227,450000
1177,326450739,450000
1178,766607777,65000000
1179,352179999,65000000
1180,795725325,1000000
1181,937821968,500000
1182,932053063,1000000
1183,763637537,1000000
1184,845994868,3000000
1185,854964678,11325000
1186,794069069,1000000
1187,774458885,3000000
1188,985487330,450000
1189,939847570,500000
1190,782224666,12000000
1191,929111959,3000000
1192,965933668,10000000
1193,326306766,450000
1194,865767852,450000
1195,902878044,500000
1196,794991368,1000000
1197,877111389,500000
1198,583471997,500000
1199,866711266,450000
1200,388981777,10000000
1201,908150588,3000000
1202,977613755,500000
1203,329275225,450000
1204,859585756,3000000
1205,795754759,1000000
1206,354949939,450000
1207,825376868,3000000
1208,365026999,10000000
1209,385457139,450000
1210,932531712,1000000
1211,879287928,500000
1212,944316393,1000000
1213,343620686,450000
1214,889999368,10000000
1215,926434383,500000
1216,852536536,500000
1217,899992015,69000000
1218,363326999,10000000
1219,836689678,11325000
1220,343000286,450000
1221,329577712,450000
1222,333746599,450000
1223,902111293,3000000
1224,565310999,500000
1225,326658880,450000
1226,768523686,1000000
1227,332181008,450000
1228,948041086,1000000
1229,763715012,1000000
1230,869379661,500000
1231,773939997,12000000
1232,903174488,500000
1233,921727393,3000000
1234,762700708,1000000
1235,855555791,10300000
1236,855807678,11325000
1237,989908517,450000
1238,877109799,500000
1239,888887572,10300000
1240,868941985,500000
1241,774313678,10000000
1242,902932677,500000
1243,916454939,500000
1244,788885789,10000000
1245,905795466,500000
1246,926325166,500000
1247,922480266,500000
1248,776809666,12000000
1249,829084678,11325000
1250,985383902,500000
1251,326592221,450000
1252,936606484,500000
1253,934778778,10000000
1254,762515015,1000000
1255,708083783,1000000
1256,922873999,10000000
1257,835279333,3000000
1258,868690602,500000
1259,337699668,10000000
1260,967435986,500000
1261,799142742,1000000
1262,763672072,1000000
1263,708088266,1000000
1264,937882855,500000
1265,877153322,500000
1266,777363698,1000000
1267,346670001,10000000
1268,901108118,3000000
1269,338333833,450000
1270,932736353,1000000
1271,969629363,500000
1272,377345678,10000000
1273,329240179,450000
1274,907680286,500000
1275,866200994,450000
1276,899681983,3000000
1277,796365889,10000000
1278,909572375,500000
1279,927725776,500000
1280,867686896,10000000
1281,795384555,12000000
1282,973851999,10000000
1283,961083616,500000
1284,972568152,450000
1285,868638998,10000000
1286,343280907,450000
1287,332368488,450000
1288,763022766,1000000
1289,528952003,500000
1290,349337999,10000000
1291,828038686,3000000
1292,329954994,450000
1293,946810826,1000000
1294,948987567,1000000
1295,848122013,15000000
1296,974568854,450000
1297,938740770,500000
1298,906541974,500000
1299,934533439,500000
1300,879285552,500000
1301,395360000,12400000
1302,702635151,1000000
1303,843986886,3000000
1304,852686686,3000000
1305,795719012,1000000
1306,879486938,500000
1307,762661962,1000000
1308,856116801,500000
1309,943869191,1000000
1310,981010398,3000000
1311,795747749,1000000
1312,984390299,3000000
1313,328567968,450000
1314,866161615,450000
1315,359173488,450000
1316,705220223,1000000
1317,789332332,1000000
1318,981497956,450000
1319,911956639,3000000
1320,379302382,450000
1321,862902489,450000
1322,702350888,12000000
1323,366828339,450000
1324,332640566,450000
1325,708074874,1000000
1326,975920694,500000
1327,332843799,450000
1328,702995599,1000000
1329,329759139,450000
1330,762566011,1000000
1331,329612444,450000
1332,327377721,450000
1333,945924959,1000000
1334,795688600,1000000
1335,343852466,450000
1336,344280972,450000
1337,904789911,10000000
1338,984021003,10000000
1339,782952345,1000000
1340,792888884,10000000
1341,333382969,10000000
1342,963906390,500000
1343,334246266,450000
1344,356191181,450000
1345,982676499,10000000
1346,362138086,450000
1347,995332005,3000000
1348,911812299,3000000
1349,939913319,500000
1350,983469178,10000000
1351,763556123,1000000
1352,369324234,450000
1353,877338852,500000
1354,865078786,450000
1355,961405722,500000
1356,789120693,1000000
1357,889798082,1000000
1358,356789430,10000000
1359,358057345,450000
1360,931491444,1000000
1361,329474878,450000
1362,986363279,3000000
1363,912199369,3000000
1364,328411196,450000
1365,763888017,1000000
1366,327968896,450000
1367,772840099,1000000
1368,939772164,500000
1369,819840123,3000000
1370,927082679,10000000
1371,372941345,450000
1372,938263268,500000
1373,969840722,500000
1374,346674666,10000000
1375,904786432,1000000
1376,369153253,450000
1377,343651971,450000
1378,379322888,10000000
1379,819450000,10000000
1380,927124679,10000000
1381,988363999,10000000
1382,976608981,500000
1383,888952129,1000000
1384,799144566,1000000
1385,392006068,500000
1386,967532007,3000000
1387,336172239,450000
1388,328751599,450000
1389,776698689,10000000
1390,879821286,500000
1391,377205666,10000000
1392,971460885,3000000
1393,334227770,450000
1394,343280785,450000
1395,988382017,10000000
1396,862944669,450000
1397,877108966,500000
1398,919257979,10000000
1399,909679365,500000
1400,969929272,500000
1401,328882368,450000
1402,335277763,450000
1403,898309240,1000000
1404,981062569,3000000
1405,966954339,3000000
1406,862228998,10000000
1407,342605679,450000
1408,334449788,10000000
1409,987777577,10000000
1410,972130961,500000
1411,777777904,10000000
1412,866334386,450000
1413,946170590,1000000
1414,868117736,500000
1415,563141989,500000
1416,389838989,10000000
1417,936821812,500000
1418,964004048,500000
1419,787272666,12000000
1420,816389777,12000000
